Age,Hours per day,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Primary streaming service_Apple Music,Primary streaming service_I do not use a streaming service.,Primary streaming service_Other streaming service,Primary streaming service_Pandora,Primary streaming service_Spotify,Primary streaming service_YouTube Music,While working_No,While working_Yes,Instrumentalist_No,Instrumentalist_Yes,Composer_No,Composer_Yes,Fav genre_Classical,Fav genre_Country,Fav genre_EDM,Fav genre_Folk,Fav genre_Gospel,Fav genre_Hip hop,Fav genre_Jazz,Fav genre_K pop,Fav genre_Latin,Fav genre_Lofi,Fav genre_Metal,Fav genre_Pop,Fav genre_R&B,Fav genre_Rap,Fav genre_Rock,Fav genre_Video game music,Exploratory_No,Exploratory_Yes,Foreign languages_No,Foreign languages_Yes,Music effects_Improve,Music effects_No effect,Music effects_Worsen
-0.1749496873400722,0.13506407572677426,0.7694333372801966,0,0,3,0,0,1,1,3,0,2,2,1,0,1,1,3,0.7000000000000001,0.7000000000000001,1.0,0.2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
3.8355452326682133,-0.38590405805095773,-0.44364400227570333,2,0,0,1,2,0,3,2,3,2,0,2,2,0,0,0,0.9,0.7000000000000001,0.30000000000000004,0.30000000000000004,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
-0.1749496873400722,0.13506407572677426,0.1376222229281654,0,0,1,0,1,3,0,3,2,2,0,2,3,3,0,1,0.7000000000000001,0.2,0.5,0.9,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
-0.1749496873400722,0.4823761649119289,-0.39309911312754087,1,2,0,0,0,2,3,3,1,3,1,3,3,3,3,0,0.8,0.8,0.7000000000000001,0.7000000000000001,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
-0.1749496873400722,-0.21224801345838037,-0.8985480046091658,2,0,1,2,1,1,2,0,1,1,1,1,1,0,0,2,0.4,0.8,0.6000000000000001,0.0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
0.10485228382329659,-0.9068721918286897,-0.1656471119608096,0,0,1,0,0,3,1,3,0,2,0,2,2,1,0,1,0.5,0.30000000000000004,0.5,0.30000000000000004,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
-0.08168236361894927,0.8296882540970836,-0.19091955653489084,0,3,0,2,0,0,0,0,0,0,3,0,0,0,3,0,0.2,0.0,0.0,0.0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
-0.1749496873400722,-0.9068721918286897,1.3506995624840654,1,1,1,1,2,1,1,0,1,1,0,2,2,1,2,2,0.2,0.2,0.5,0.1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
-0.08168236361894927,1.5243124324673931,0.5925262252616279,1,0,3,0,0,2,1,1,1,1,0,1,1,2,1,1,0.1,0.0,0.0,0.1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
-0.08168236361894927,-0.5595601026435351,-0.34255422397937835,0,3,1,2,0,2,0,0,0,1,0,1,0,3,0,0,0.2,0.1,0.2,0.0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
-0.1749496873400722,0.13506407572677426,1.1737924504654966,3,1,0,0,0,0,3,0,2,1,2,2,0,0,2,1,0.6000000000000001,0.4,0.7000000000000001,0.0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
-0.36148433478231806,1.5243124324673931,0.03653244463184039,0,0,0,0,0,3,0,0,0,0,0,0,2,3,0,1,0.8,0.8,0.4,0.30000000000000004,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
-0.36148433478231806,2.9135607892080118,0.46616400239122163,1,0,2,1,0,3,1,0,0,0,2,2,1,2,3,0,0.5,0.7000000000000001,1.0,0.0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
-0.26821701106119517,7.081305859429867,-0.0645573336644846,1,0,0,0,0,2,2,2,1,0,2,1,2,3,3,0,0.7000000000000001,0.5,0.0,0.30000000000000004,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
-0.454751658503441,-0.21224801345838037,0.46616400239122163,0,0,0,0,0,3,1,0,0,0,1,1,2,3,1,0,0.7000000000000001,0.30000000000000004,0.0,0.2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
-0.454751658503441,1.5243124324673931,0.46616400239122163,1,0,2,1,0,3,2,3,2,1,1,3,1,3,2,2,0.6000000000000001,0.9,0.30000000000000004,0.0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
-0.26821701106119517,0.13506407572677426,0.5925262252616279,0,1,1,0,0,2,0,0,0,1,1,2,0,3,2,0,1.0,1.0,0.2,0.4,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
-0.08168236361894927,0.4823761649119289,0.4156191132430591,1,1,2,3,1,3,2,0,0,1,1,1,3,3,2,1,0.6000000000000001,0.7000000000000001,0.5,0.4,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
-0.1749496873400722,-0.5595601026435351,-0.5700062251461095,1,1,2,0,0,1,0,1,2,0,0,3,0,0,0,1,0.30000000000000004,0.30000000000000004,0.8,0.6000000000000001,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
-0.36148433478231806,-0.21224801345838037,-0.44364400227570333,1,1,0,1,2,2,2,0,1,0,2,0,2,1,3,2,1.0,0.6000000000000001,0.8,1.0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
-0.1749496873400722,-0.5595601026435351,1.7045137865212028,2,1,1,3,1,1,1,3,0,2,0,3,2,2,2,0,0.7000000000000001,0.4,0.2,0.5,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
-0.5480189822245639,2.9135607892080118,0.8705231155765216,2,2,1,1,1,3,2,0,0,3,0,3,3,3,3,2,0.8,0.6000000000000001,1.0,0.5,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
-0.1749496873400722,0.8296882540970836,-0.014012444516322109,2,1,1,1,1,2,2,0,0,0,0,3,2,2,0,0,0.30000000000000004,0.2,0.1,0.2,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0
-0.26821701106119517,-0.5595601026435351,0.6177986698357091,0,3,1,1,0,0,1,2,3,1,1,3,1,0,2,2,0.6000000000000001,0.6000000000000001,0.4,0.5,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
-0.26821701106119517,-0.9068721918286897,2.0583280105583404,1,0,0,1,0,0,2,0,0,0,2,2,0,0,2,0,0.8,0.2,0.1,0.5,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
-0.08168236361894927,-0.5595601026435351,0.46616400239122163,3,0,0,0,0,1,1,0,0,2,0,3,0,0,0,3,0.4,0.4,0.4,0.30000000000000004,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
